url,error
https://boxrec.com/en/box-pro/36945,exception
https://boxrec.com/en/box-pro/747447,exception
https://boxrec.com/en/box-pro/8600,exception
https://boxrec.com/en/box-pro/425490,exception
https://boxrec.com/en/box-pro/1236586,exception
https://boxrec.com/en/box-pro/21740,exception
https://boxrec.com/en/box-pro/625066,exception
https://boxrec.com/en/box-pro/900269,exception
https://boxrec.com/en/box-pro/637734,exception
https://boxrec.com/en/box-pro/29673,exception
https://boxrec.com/en/box-pro/200696,exception
https://boxrec.com/en/box-pro/251363,exception
https://boxrec.com/en/box-pro/1108643,exception
https://boxrec.com/en/box-pro/860435,exception
https://boxrec.com/en/box-pro/586,exception
https://boxrec.com/en/box-pro/1140314,exception
https://boxrec.com/en/box-pro/531573,exception
https://boxrec.com/en/box-pro/79344,exception
https://boxrec.com/en/box-pro/009016,exception
https://boxrec.com/en/box-pro/40183,exception
https://boxrec.com/en/box-pro/250030,exception
https://boxrec.com/en/box-pro/15527,exception
https://boxrec.com/en/box-pro/9093,exception
https://boxrec.com/en/box-pro/3810,exception
https://boxrec.com/en/box-pro/741177,HTTP 520
https://boxrec.com/en/box-pro/16239,exception
https://boxrec.com/en/box-pro/979385,exception
https://boxrec.com/en/box-pro/281958,exception
https://boxrec.com/en/box-pro/861592,exception
https://boxrec.com/en/box-pro/77383,HTTP 520
https://boxrec.com/en/box-pro/64852,exception
https://boxrec.com/en/box-pro/1116153,exception
https://boxrec.com/en/box-pro/580026,exception
https://boxrec.com/en/box-pro/844234,exception
https://boxrec.com/en/box-pro/2186,exception
https://boxrec.com/en/box-pro/1261607,exception
https://boxrec.com/en/box-pro/93086,exception
https://boxrec.com/en/box-pro/15842,exception
https://boxrec.com/en/box-pro/34020,exception
https://boxrec.com/en/box-pro/517027,exception
https://boxrec.com/en/box-pro/79667,exception
https://boxrec.com/en/box-pro/15815,exception
https://boxrec.com/en/box-pro/283135,exception
https://boxrec.com/en/box-pro/474610,exception
https://boxrec.com/en/box-pro/583519,exception
https://boxrec.com/en/box-pro/349169,exception
https://boxrec.com/en/box-pro/333373,exception
https://boxrec.com/en/box-pro/483786,exception
https://boxrec.com/en/box-pro/784850,exception
https://boxrec.com/en/box-pro/9524,exception
https://boxrec.com/en/box-pro/18837,exception
https://boxrec.com/en/box-pro/26820,exception
https://boxrec.com/en/box-pro/685573,exception
https://boxrec.com/en/box-pro/769523,exception
https://boxrec.com/en/box-pro/747308,exception
https://boxrec.com/en/box-pro/369571,exception
https://boxrec.com/en/box-pro/768670,exception
https://boxrec.com/en/box-pro/725866,HTTP 520
https://boxrec.com/en/box-pro/793454,exception
https://boxrec.com/en/box-pro/014043,exception
https://boxrec.com/en/box-pro/567061,exception
https://boxrec.com/en/box-pro/26925,exception
https://boxrec.com/en/box-pro/1184150,exception
https://boxrec.com/en/box-pro/571049,exception
https://boxrec.com/en/box-pro/849885,exception
https://boxrec.com/en/box-pro/366406,exception
https://boxrec.com/en/box-pro/747923,exception
https://boxrec.com/en/box-pro/634695,exception
https://boxrec.com/en/box-pro/494042,exception
https://boxrec.com/en/box-pro/018309,exception
https://boxrec.com/en/box-pro/679206,exception
https://boxrec.com/en/box-pro/900225,exception
https://boxrec.com/en/box-pro/352%22,exception
https://boxrec.com/en/box-pro/767592,exception
https://boxrec.com/en/box-pro/31599,exception
https://boxrec.com/en/box-pro/106921,exception
https://boxrec.com/en/box-pro/15479,exception
https://boxrec.com/en/box-pro/1203128,exception
https://boxrec.com/en/box-pro/14839,exception
https://boxrec.com/en/box-pro/6605,HTTP 520
https://boxrec.com/en/box-pro/534438,exception
https://boxrec.com/en/box-pro/43720,exception
https://boxrec.com/en/box-pro/783029,exception
https://boxrec.com/en/box-pro/499685,HTTP 520
https://boxrec.com/en/box-pro/125797,exception
https://boxrec.com/en/box-pro/71169,exception
https://boxrec.com/en/box-pro/20280,exception
https://boxrec.com/en/box-pro/23156,exception
https://boxrec.com/en/box-pro/825946,HTTP 520
https://boxrec.com/en/box-pro/803419,exception
https://boxrec.com/en/box-pro/193792,exception
https://boxrec.com/en/box-pro/1023518,exception
https://boxrec.com/en/box-pro/38235,exception
https://boxrec.com/en/box-pro/679764,exception
https://boxrec.com/en/box-pro/748834,exception
https://boxrec.com/en/box-pro/6598,exception
https://boxrec.com/en/box-pro/1096782,exception
