boxer_name,boxrec_url,boxer_slug,id,boxrec_id
Hernan Marquez,https://boxrec.com/en/box-pro/335088,hernan-marquez,92768,335088
Hernan Raul Perez Ramos,https://boxrec.com/en/proboxer/34334,hernan-raul-perez-ramos,81442,34334
Hernan Torres Prentt,https://boxrec.com/en/proboxer/191225,hernan-torres-prentt,79661,191225
Hernan Vera,https://boxrec.com/en/proboxer/1031438,hernan-vera,83480,1031438
Hernando Alfredo Magallanes,https://boxrec.com/en/proboxer/327999,hernando-alfredo-magallanes,87702,327999
Hero Tito,https://boxrec.com/en/proboxer/540673,hero-tito,69080,540673
Herol Graham,https://boxrec.com/en/box-pro/1764,herol-graham,90618,1764
Herve De Luca,https://boxrec.com/en/box-pro/345734,herve-de-luca,91858,345734
Herve Silu Mata,https://boxrec.com/en/proboxer/901337,herve-silu-mata,78621,901337
Hestel Franks,https://boxrec.com/en/proboxer/40584,hestel-franks,83749,40584
Hi Yong Choi,https://boxrec.com/en/proboxer/000920,hi-yong-choi,69024,000920
Hibiki Jogo,https://boxrec.com/en/proboxer/739713,hibiki-jogo,71599,739713
Hideo Kitari,https://boxrec.com/en/proboxer/93047,hideo-kitari,71134,93047
Hideyuki Furuhashi,https://boxrec.com/en/proboxer/22450,hideyuki-furuhashi,71662,22450
Hideyuki Watanabe,https://boxrec.com/en/proboxer/288348,hideyuki-watanabe,86804,288348
Hidi Tibe,https://boxrec.com/en/proboxer/20136,hidi-tibe,82914,20136
Hikaru Kawae,https://boxrec.com/en/proboxer/717350,hikaru-kawae,72983,717350
Hikaru Ota,https://boxrec.com/en/proboxer/628972,hikaru-ota,79416,628972
Hilario Capetillo,https://boxrec.com/en/proboxer/139086,hilario-capetillo,77715,139086
Hipolito Martinez,https://boxrec.com/en/proboxer/225683,hipolito-martinez,72481,225683
Hiram Lopez,https://boxrec.com/en/proboxer/595261,hiram-lopez,84797,595261
Hiroaki Kato,https://boxrec.com/en/proboxer/83910,hiroaki-kato,70401,83910
Hiroaki Yokota,https://boxrec.com/en/box-pro/5437,hiroaki-yokota,94092,5437
Hirofumi Mukai,https://boxrec.com/en/proboxer/506772,hirofumi-mukai,75458,506772
Hiroka Amaki,https://boxrec.com/en/proboxer/1077038,hiroka-amaki,87348,1077038
Hirokatsu Yamazaki,https://boxrec.com/en/proboxer/142113,hirokatsu-yamazaki,73732,142113
Hiroki Suzuki,https://boxrec.com/en/proboxer/1028874,hiroki-suzuki,74705,1028874
Hiromasa Tanaka,https://boxrec.com/en/proboxer/306605,hiromasa-tanaka,85579,306605
Hironobu Matsunaga,https://boxrec.com/en/proboxer/621121,hironobu-matsunaga,74846,621121
Hiroshi Abe,https://boxrec.com/en/proboxer/385888,hiroshi-abe,86219,385888
Hiroshi Itagaki,https://boxrec.com/en/proboxer/387394,hiroshi-itagaki,77844,387394
Hiroshi Nakajima,https://boxrec.com/en/proboxer/15210,hiroshi-nakajima,79344,15210
Hiroshige Osawa,https://boxrec.com/en/proboxer/286092,hiroshige-osawa,74525,286092
Hiroto Hoshi,https://boxrec.com/en/proboxer/775352,hiroto-hoshi,81468,775352
Hiroto Kyoguchi,https://boxrec.com/en/box-pro/752878,hiroto-kyoguchi,91862,752878
Hiroyuki Abe,https://boxrec.com/en/proboxer/16159,hiroyuki-abe,84605,16159
Hiroyuki Kai,https://boxrec.com/en/proboxer/1069985,hiroyuki-kai,73431,1069985
Hiroyuki Kobayashi,https://boxrec.com/en/proboxer/88017,hiroyuki-kobayashi,72139,88017
Hisae Watanabe,https://boxrec.com/en/box-pro/218990,hisae-watanabe,92506,218990
Hitoki Kitagawa,https://boxrec.com/en/proboxer/802606,hitoki-kitagawa,89935,802606
Hitra Juma,https://boxrec.com/en/proboxer/781561,hitra-juma,80625,781561
Hizni Altunkaya,https://boxrec.com/en/proboxer/467060,hizni-altunkaya,71710,467060
Hlomla Goniwe,https://boxrec.com/en/proboxer/883589,hlomla-goniwe,73011,883589
Hoang Hiep Le,https://boxrec.com/en/proboxer/891714,hoang-hiep-le,77614,891714
Hoang Sang Nguyen,https://boxrec.com/en/proboxer/36328,hoang-sang-nguyen,89324,36328
Hocine Soltani,https://boxrec.com/en/proboxer/40589,hocine-soltani,89093,40589
Hogan Kid Bassey,https://boxrec.com/en/proboxer/22405,hogan-kid-bassey,72197,22405
Holger Hansen,https://boxrec.com/en/proboxer/120793,holger-hansen,84044,120793
Hollie Dunaway,https://boxrec.com/en/box-pro/174487,hollie-dunaway,93364,174487
Holly Holm,https://boxrec.com/en/proboxer/117628,holly-holm,69095,117628
Holly Shores,https://boxrec.com/en/proboxer/196726,holly-shores,80753,196726
Homer Robertson,https://boxrec.com/en/proboxer/35587,homer-robertson,82323,35587
Homero Gutierrez,https://boxrec.com/en/proboxer/97067,homero-gutierrez,88347,97067
Homilio Andrial,https://boxrec.com/en/proboxer/512135,homilio-andrial,81838,512135
Honey Boy Jackson,https://boxrec.com/en/proboxer/78613,honey-boy-jackson,76177,78613
Honey Mae Bermoy,https://boxrec.com/en/proboxer/577533,honey-mae-bermoy,79127,577533
Hong Sing Lin,https://boxrec.com/en/proboxer/1040893,hong-sing-lin,88355,1040893
Hongbo Wei,https://boxrec.com/en/proboxer/840625,hong-bo-wei,83301,840625
Honoka Hashimoto,https://boxrec.com/en/proboxer/211883,honoka-hashimoto,85311,211883
Honorato Echavez,https://boxrec.com/en/proboxer/164567,honorato-echavez,85877,164567
Honore Clement,https://boxrec.com/en/proboxer/638156,honore-clement,88235,638156
Hopey Price,https://boxrec.com/en/box-pro/867415,hopey-price,94028,867415
Horace Cooper,https://boxrec.com/en/proboxer/4999,horace-cooper,83173,4999
Horace Notice,https://boxrec.com/en/box-pro/21914,horace-notice,92792,21914
Horacio Otis,https://boxrec.com/en/proboxer/113810,horacio-otis,89158,113810
Horacio Ruiz,https://boxrec.com/en/proboxer/94424,horacio-ruiz,89128,94424
Horatio Garcia,https://boxrec.com/en/proboxer/7623,horatio-garcia,69233,7623
Horia Trif,https://boxrec.com/en/proboxer/893286,horia-trif,80957,893286
Horst Lang,https://boxrec.com/en/proboxer/23437,horst-lang,85462,23437
Horst Raspe,https://boxrec.com/en/proboxer/109511,horst-raspe,79031,109511
Horst Saalbach,https://boxrec.com/en/proboxer/459404,horst-saalbach,76237,459404
Hosea Burton,https://boxrec.com/en/box-pro/595210,hosea-burton,90554,595210
Hosea Stewart,https://boxrec.com/en/box-pro/926908,hosea-stewart,92795,926908
Houty,https://boxrec.com/en/proboxer/820802,houty,89619,820802
Hovik Keuchkerian,https://boxrec.com/en/proboxer/25770,hovik-keuchkerian,69068,25770
Howard Artt,https://boxrec.com/en/proboxer/55497,howard-artt,76503,55497
Howard Bleyhl,https://boxrec.com/en/proboxer/24519,howard-bleyhl,87371,24519
Howard Cospolite,https://boxrec.com/en/box-pro/552049,howard-cospolite,94151,552049
Howard Davis Jr.,https://boxrec.com/en/box-pro/554,howard-davis-jr,91281,554
Howard Dixon,https://boxrec.com/en/proboxer/47258,howard-dixon,76677,47258
Howard Eastman,https://boxrec.com/en/box-pro/14799,howard-eastman,93249,14799
Howard Goodman,https://boxrec.com/en/proboxer/127831,howard-goodman,70026,127831
Howard Hamlin,https://boxrec.com/en/proboxer/280176,howard-hamlin,76199,280176
Howard Jackson,https://boxrec.com/en/proboxer/28815,howard-jackson,73665,28815
Howard Jones,https://boxrec.com/en/proboxer/391429,howard-jones,75521,391429
Howard Mills,https://boxrec.com/en/proboxer/30497,howard-mills,71091,30497
Howard Thompson,https://boxrec.com/en/proboxer/796122,howard-thompson,83985,796122
Howard Winstone,https://boxrec.com/en/box-pro/019255,howard-winstone,92625,019255
