name,url
Frida Wallberg,https://boxrec.com/en/box-pro/237041
Daniel Jacobs,https://boxrec.com/en/box-pro/432984
Kevin McBride,https://boxrec.com/en/box-pro/7386
Oscar De La Hoya,https://boxrec.com/en/box-pro/8253
Idris Virgo,https://boxrec.com/en/box-pro/822058
Josh Warrington,https://boxrec.com/en/box-pro/512777
Anderson Silva,https://boxrec.com/en/box-pro/152826
Patrick Day,https://boxrec.com/en/box-pro/638768
Marvin Hagler,https://boxrec.com/en/box-pro/8684
Mike Tyson,https://boxrec.com/en/proboxer/474
Jin Sasaki,https://boxrec.com/fr/box-pro/847229
Roy Jones,https://boxrec.com/en/box-pro/17113
Steve Cunningham,https://boxrec.com/en/box-pro/36642
Jeremia Nakathila,https://boxrec.com/en/box-pro/674303
Carlos Adames,https://boxrec.com/en/box-pro/723287
Thomas LaManna,https://boxrec.com/en/box-pro/560657
Mark Magsayo,https://boxrec.com/de/box-pro/653034
Luis Ortiz,https://boxrec.com/en/box-pro/528949
Kyrone Davis,https://boxrec.com/en/box-pro/675886
Oleksandr Gvozdyk,https://boxrec.com/en/box-pro/679709
Tiara Brown,https://boxrec.com/en/box-pro/775470
Andy Hiraoka,https://boxrec.com/en/box-pro/672119
Mylik Birdsong,https://boxrec.com/en/box-pro/810596
Floyd Mayweather,https://boxrec.com/en/box-pro/15480
Bruno Surace,https://boxrec.com/en/box-pro/776553
John Ramirez,https://boxrec.com/en/box-pro/981417
Aadam Hamed,https://boxrec.com/en/box-pro/1167253
Kell Brook,https://boxrec.com/en/box-pro/272717.Kell+Brook+v+SenchenkoThe
Danny Williams,https://boxrec.com/en/box-pro/6522
Emanuel Williams,https://boxrec.com/en/box-pro/857724
Trey Lippe,https://boxrec.com/en/box-pro/678288
Earnie Shavers,https://boxrec.com/en/box-pro/320
Bermane Stiverne,https://boxrec.com/en/box-pro/324806
Ricardo Nunez,https://boxrec.com/en/box-pro/551680
Lorenzo Simpson,https://boxrec.com/ru/box-pro/857429
Gabriel Flores Jr,https://boxrec.com/en/box-pro/795448
Marcus Browne,https://boxrec.com/en/box-pro/629463
Tyrrell Anthony Herndon,https://boxrec.com/en/box-pro/738273
Maciej Sulecki,https://boxrec.com/en/box-pro/539640
Gerald McClellan,https://boxrec.com/en/box-pro/4252
Hasim Rahman,https://boxrec.com/boxer/6070
Leon Spinks,https://boxrec.com/en/box-pro/262
Nate Diaz,https://boxrec.com/en/box-pro/1147579
Duke Ragan,https://boxrec.com/en/box-pro/854243
Josh Padley,https://boxrec.com/en/box-pro/871755
Vladimir Shishkin,https://boxrec.com/en/box-pro/767596
TJ Doheny,https://boxrec.com/en/box-pro/611407
Holly Holm,https://boxrec.com/en/box-pro/117628
Marsellos Wilder,https://boxrec.com/en/box-pro/835616
Alycia Baumgardner,https://boxrec.com/en/box-pro/789958
Rocky Lockridge,https://boxrec.com/en/box-pro/1311
Austin Trout,https://boxrec.com/en/box-pro/328611
D'Mitrius Ballard,https://boxrec.com/en/box-pro/640497
Eric Priest,https://boxrec.com/de/box-pro/861377
Trevor Berbick,https://boxrec.com/en/box-pro/247
Antonio Vargas,https://boxrec.com/en/box-pro/785689
David Lemieux,https://boxrec.com/fr/proboxer/389447
Josh Kelly,https://boxrec.com/en/box-pro/788492
Miguel Madueno,https://boxrec.com/en/box-pro/795163
Sonny Liston,https://boxrec.com/en/box-pro/9031
Conor McGregor,https://boxrec.com/en/box-pro/802658
Steve Claggett,https://boxrec.com/en/box-pro/469170
Frank Sanchez,https://boxrec.com/en/box-pro/814335
Tommy Morrison,https://boxrec.com/en/box-pro/1465
David Tua,https://boxrec.com/en/box-pro/4343
Jeff Horn,https://boxrec.com/en/box-pro/635000
Zab Judah,https://boxrec.com/en/box-pro/6945
Oscar Collazo,https://boxrec.com/en/box-pro/919293
Yokasta Valle,https://boxrec.com/en/box-pro/694233
Saul Alvarez,https://boxrec.com/cn/box-pro/348759
Maxi Hughes,https://boxrec.com/en/box-pro/543029
Julius Francis,https://boxrec.com/en/box-pro/5757
Devin Haney,https://boxrec.com/pl/box-pro/741718
Riddick Bowe,https://boxrec.com/en/box-pro/1640
Agit Kabayel,https://boxrec.com/en/box-pro/575332
Angelo Leo,https://boxrec.com/en/box-pro/632458
Wladimir Klitschko,https://boxrec.com/en/box-pro/7035
Bakhodir Jalolov,https://boxrec.com/en/box-pro/834487
Arturo Gatti,https://boxrec.com/en/box-pro/3999
Charly Suarez,https://boxrec.com/ru/box-pro/851286
Michel Soro,https://boxrec.com/en/box-pro/469744
Franchon Crews Dezurn,https://boxrec.com/en/box-pro/778621
Tony Yoka,https://boxrec.com/en/box-pro/795843
Vitali Klitschko,https://boxrec.com/en/box-pro/7033
